WJetAlpgen
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
        PassHLT            -inf            +inf               -               -            483.31              0.27         1.0e+00         8.0e-04         9.7e-01         5.5e-04
       nEle_all            -inf            +inf               -               -            483.31              0.27         1.0e+00         8.0e-04         9.7e-01         5.5e-04
     nEle_PtCut            -inf            +inf               -               -            483.31              0.27         1.0e+00         8.0e-04         9.7e-01         5.5e-04
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -              0.51              0.05         1.1e-03         9.9e-05         1.0e-03         9.6e-05
Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
        Mee_PAS            -inf            +inf               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
      sTele_PAS            -inf            +inf               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
       nJet_PAS            -inf            +inf               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
       nJet_all            -inf            +inf               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
     nJet_PtCut            -inf            +inf               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
nJet_PtCut_noOvrlp            -inf            +inf               -               -              0.51              0.05         1.0e+00         1.3e-01         1.0e-03         9.6e-05
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -              0.43              0.04         8.4e-01         1.2e-01         8.6e-04         8.8e-05
Pt1stJet_noOvrlp_ID         30.0000            +inf               -               -              0.43              0.04         1.0e+00         1.5e-01         8.6e-04         8.8e-05
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -              0.43              0.04         1.0e+00         1.5e-01         8.6e-04         8.8e-05
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -              0.42              0.04         9.9e-01         1.4e-01         8.5e-04         8.8e-05
